0	15.475100
1	20.531879
2	26.063656
3	32.208017
4	39.892304
5	45.604723
6	47.960996
7	50.682186
8	53.522018
9	56.517495
10	61.192735
11	65.084325
12	67.039785
13	68.860603
14	70.743142
15	72.573908
16	74.483235
17	76.182426
18	78.308305
19	79.977363
20	81.416305
21	83.180315
22	85.931214
23	88.090011
24	89.289149
25	89.986272
26	91.344707
27	93.359355
28	96.506258
29	98.512478
30	100.257553
31	102.402409
32	105.131291
33	108.348122
34	112.010846
35	114.251526
36	115.286021
37	116.353675
38	117.483487
39	119.025438
40	120.888083
41	122.615837
42	124.168954
43	125.330792
44	126.780703
45	128.422732
46	130.330100
47	132.482977
48	134.273821
49	136.105074
50	137.308760
51	138.731683
52	140.081866
53	142.043352
54	143.799810
55	146.166322
56	148.501029
57	151.793418
58	154.654041
59	157.346240
60	160.444964
61	162.018383
62	163.602999
63	164.767912
64	165.931948
65	166.997715
66	168.388819
67	169.067661
68	170.143921
69	171.165894
70	172.977346
71	175.132049
72	177.795424
73	179.573063
74	181.307918
75	182.372268
76	183.266240
77	184.325869
78	185.833587
79	187.091737
80	188.743761
81	190.190472
82	191.929733
83	193.416092
84	194.234083
85	195.189702
86	195.828037
87	196.520111
88	197.320136
89	197.879312
90	198.354746
91	198.808671
92	199.056575
93	199.142141
94	199.287439
95	199.402406
96	199.448014
97	199.529866
98	199.539058
99	199.604399
100	199.617839
101	199.654873
102	199.681245
103	199.724078
104	199.766780
105	199.814448
106	199.842302
107	199.833636
108	199.780121
109	199.805655
110	199.831789
111	199.876438
112	199.855712
113	199.814228
114	199.815036
115	199.782491
116	199.799941
117	199.853326
118	199.847256
119	199.889625
120	199.857168
121	199.789627
122	199.828961
123	199.782061
124	199.843860
125	199.728227
126	199.794211
127	199.838645
128	199.820325
129	199.857772
130	199.888572
131	199.869460
132	199.885534
133	199.840560
134	199.859221
135	199.802688
136	199.840479
137	199.794769
138	199.778062
139	199.782658
140	199.870008
141	199.856423
142	199.851014
143	199.875684
144	199.877688
145	199.851857
146	199.795840
147	199.808036
148	199.805881
149	199.854136
150	199.826110
